2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
204,CWA,Central Wisconsin,Mosinee,WI,374.90,511.41,"5,754",,,,,,,,,,,
205,TOL,Eugene F Kranz Toledo Express,Toledo,OH,289.00,394.23,"5,563",,,,,,,,,,,
206,LSE,La Crosse Regional,La Crosse,WI,487.33,664.78,"5,497",,,,,,,,,,,
207,EGE,Eagle County Regional,Eagle,CO,451.71,616.19,"5,285",,,,,,,,,,,
208,YUM,Yuma MCAS/Yuma International,Yuma,AZ,439.81,599.96,"5,255",,,,,,,,,,,
209,SCK,Stockton Metro,Stockton,CA,123.12,167.95,"5,232",,,,,,,,,,,
210,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,500.55,682.81,"5,176",,,,,,,,,,,
211,RST,Rochester International,Rochester,MN,352.59,480.98,"5,139",,,,,,,,,,,
212,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,271.24,370.00,"5,060",,,,,,,,,,,
213,LNK,Lincoln Airport,Lincoln,NE,410.68,560.22,"5,033",,,,,,,,,,,
214,ELM,Elmira/Corning Regional,Elmira/Corning,NY,324.08,442.08,"5,016",,,,,,,,,,,
215,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,389.84,531.79,"4,875",,,,,,,,,,,
216,MLU,Monroe Regional,Monroe,LA,503.83,687.29,"4,860",,,,,,,,,,,
217,FLG,Flagstaff Pulliam,Flagstaff,AZ,347.59,474.15,"4,845",,,,,,,,,,,
218,COU,Columbia Regional,Columbia,MO,364.29,496.94,"4,701",,,,,,,,,,,
219,HDN,Yampa Valley,Hayden,CO,400.84,546.79,"4,571",,,,,,,,,,,
220,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,415.72,567.09,"4,529",,,,,,,,,,,
221,ERI,Erie International/Tom Ridge Field,Erie,PA,318.99,435.14,"4,465",,,,,,,,,,,
222,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,299.10,408.01,"4,411",,,,,,,,,,,
223,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,375.97,512.88,"4,256",,,,,,,,,,,
224,ABI,Abilene Regional,Abilene,TX,416.62,568.32,"4,199",,,,,,,,,,,
225,ACK,Nantucket Memorial,Nantucket,MA,293.95,400.98,"4,191",,,,,,,,,,,
226,MBS,MBS International,Saginaw/Bay City/Midland,MI,434.69,592.97,"4,177",,,,,,,,,,,
227,GFK,Grand Forks International,Grand Forks,ND,449.45,613.10,"4,123",,,,,,,,,,,
228,SAF,Santa Fe Municipal,Santa Fe,NM,371.24,506.42,"4,034",,,,,,,,,,,
229,SPI,Abraham Lincoln Capital,Springfield,IL,378.07,515.73,"4,033",,,,,,,,,,,
230,KTN,Ketchikan International,Ketchikan,AK,466.74,636.69,"4,031",,,,,,,,,,,
231,GUM,Guam International,Guam,TT,1547.77,2111.34,"3,980",,,,,,,,,,,
232,BET,Bethel Airport,Bethel,AK,454.33,619.76,"3,893",,,,,,,,,,,
233,CPR,Casper/Natrona County International,Casper,WY,440.45,600.83,"3,792",,,,,,,,,,,
234,HLN,Helena Regional,Helena,MT,545.48,744.11,"3,759",,,,,,,,,,,
235,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,273.53,373.12,"3,753",,,,,,,,,,,
