2021 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2022),2021 Passengers (10% sample),,,,,,,,,,,
260,HVN,Tweed New Haven,New Haven,CT,386.04,560.42,"2,188",,,,,,,,,,,
261,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,492.99,715.68,"2,184",,,,,,,,,,,
262,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,423.62,614.98,"2,126",,,,,,,,,,,
263,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,514.30,746.63,"2,065",,,,,,,,,,,
264,DHN,Dothan Regional,Dothan,AL,630.45,915.24,"1,974",,,,,,,,,,,
265,GTR,Golden Triangle Regional,Columbus,MS,557.14,808.81,"1,955",,,,,,,,,,,
266,PGV,Pitt Greenville,Greenville,NC,398.96,579.18,"1,953",,,,,,,,,,,
267,LWS,Lewiston Nez Perce County,Lewiston,ID,412.26,598.49,"1,877",,,,,,,,,,,
268,ABY,Southwest Georgia Regional,Albany,GA,587.06,852.25,"1,804",,,,,,,,,,,
269,TXK,Texarkana Regional-Webb Field,Texarkana,AR,496.01,720.07,"1,730",,,,,,,,,,,
270,COD,Yellowstone Regional,Cody,WY,502.09,728.89,"1,713",,,,,,,,,,,
271,GCK,Garden City Regional,Garden City,KS,471.62,684.66,"1,657",,,,,,,,,,,
272,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,340.63,494.49,"1,639",,,,,,,,,,,
